
epoch    batch             time    (avg time)        loss   (avg loss)    GAP score   (avg score)
---------------------------------------------------------------------------------------------------------
1     |  [660/23828]	|| 0.062 | (0.529)	|| 10.9609 | (11.0722)	|| 0.0000   |   (0.0011)	||
1     |  [670/23828]	|| 0.068 | (0.532)	|| 11.2338 | (11.0723)	|| 0.0000   |   (0.0011)	||
1     |  [680/23828]	|| 0.540 | (0.532)	|| 11.0814 | (11.0726)	|| 0.0000   |   (0.0011)	||
1     |  [690/23828]	|| 0.065 | (0.534)	|| 11.1055 | (11.0732)	|| 0.0000   |   (0.0010)	||
1     |  [700/23828]	|| 0.311 | (0.535)	|| 11.1450 | (11.0742)	|| 0.0000   |   (0.0010)	||
1     |  [710/23828]	|| 0.068 | (0.537)	|| 10.9179 | (11.0739)	|| 0.0000   |   (0.0010)	||
1     |  [720/23828]	|| 0.056 | (0.536)	|| 11.1135 | (11.0746)	|| 0.0000   |   (0.0010)	||
1     |  [730/23828]	|| 0.064 | (0.539)	|| 10.0501 | (11.0714)	|| 0.0000   |   (0.0010)	||
1     |  [740/23828]	|| 0.066 | (0.538)	|| 10.9379 | (11.0714)	|| 0.0000   |   (0.0010)	||
1     |  [750/23828]	|| 0.062 | (0.541)	|| 11.1523 | (11.0672)	|| 0.0000   |   (0.0010)	||
1     |  [760/23828]	|| 0.058 | (0.540)	|| 11.2142 | (11.0680)	|| 0.0000   |   (0.0010)	||
1     |  [770/23828]	|| 0.062 | (0.543)	|| 11.1037 | (11.0685)	|| 0.0000   |   (0.0009)	||
1     |  [780/23828]	|| 0.057 | (0.542)	|| 11.1438 | (11.0679)	|| 0.0000   |   (0.0009)	||
1     |  [790/23828]	|| 0.062 | (0.545)	|| 10.6012 | (11.0677)	|| 0.0000   |   (0.0009)	||
1     |  [800/23828]	|| 0.062 | (0.544)	|| 10.8851 | (11.0676)	|| 0.0000   |   (0.0009)	||
1     |  [810/23828]	|| 0.063 | (0.547)	|| 11.0586 | (11.0680)	|| 0.0000   |   (0.0009)	||
1     |  [820/23828]	|| 0.056 | (0.547)	|| 11.0472 | (11.0687)	|| 0.0000   |   (0.0009)	||
1     |  [830/23828]	|| 0.068 | (0.548)	|| 11.0945 | (11.0685)	|| 0.0000   |   (0.0009)	||
1     |  [840/23828]	|| 0.061 | (0.548)	|| 11.0806 | (11.0689)	|| 0.0000   |   (0.0009)	||
1     |  [850/23828]	|| 0.062 | (0.550)	|| 11.0687 | (11.0689)	|| 0.0000   |   (0.0009)	||
1     |  [860/23828]	|| 0.058 | (0.549)	|| 10.9680 | (11.0683)	|| 0.0000   |   (0.0008)	||
1     |  [870/23828]	|| 0.063 | (0.551)	|| 11.0800 | (11.0686)	|| 0.0000   |   (0.0008)	||
